title,title_jp,title_cn,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Fate/Zero 2nd Season,フェイト/ゼロ 2ndシーズン,,2012,Action|Fantasy|Adventure|Comedy,8.54,87,752725,57.0,8.6,38.0,3697.0,75.33,,,,
Zoku Natsume Yuujinchou,続 夏目友人帳,续 夏目友人帐,2009,Slice of Life|Supernatural,8.53,90,133784,55.5,,,,,8.0,68.0,7776.0,45.08
Fruits Basket 2nd Season,フルーツバスケット 2nd season,Re：从零开始的异世界生活 第二季,2020,Drama|Romance|Supernatural|Comedy,8.53,91,299830,55.0,8.5,52.0,12983.0,66.0,7.4,110.0,14497.0,10.66
Dr. Stone: Science Future Part 2,Dr.STONE SCIENCE FUTURE 第2クール,,2025,Adventure|Comedy,8.52,92,101822,54.5,,,,,,,,
[Oshi no Ko] 2nd Season,【推しの子】第2期,,2024,Drama|Fantasy,8.52,93,246525,54.0,8.2,125.0,14980.0,17.33,,,,
Bakuman. 3rd Season,バクマン。,爆漫王。2,2012,Comedy|Drama|Romance|Action|Adventure,8.52,94,202931,53.5,8.4,91.0,4032.0,40.0,8.1,52.0,5227.0,58.2
Samurai Champloo,サムライチャンプルー,混沌武士,2004,Action|Adventure|Comedy,8.52,95,682091,53.0,8.5,64.0,62899.0,58.0,8.5,17.0,10694.0,86.89
Fate/strange Fake,Fate/strange Fake,,2026,Action|Fantasy|Adventure,8.51,96,17816,52.5,8.3,114.0,1110.0,24.67,,,,
Gintama. Porori-hen,銀魂。ポロリ編,,2017,Action|Comedy|Sci-Fi|Adventure|Drama,8.51,97,111950,52.0,8.4,74.0,19.0,51.33,,,,
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,攻殻機動隊 S.A.C. 2nd GIG,攻壳机动队 S.A.C. 2nd GIG,2004,Mystery|Sci-Fi|Action|Crime,8.51,98,108957,51.5,8.5,55.0,22272.0,64.0,9.2,2.0,9614.0,99.18
Jujutsu Kaisen,呪術廻戦,,2020,Action|Award Winning|Supernatural|Adventure,8.51,99,1964905,51.0,8.5,56.0,189010.0,63.33,,,,
Grand Blue Season 2,ぐらんぶる Season 2,碧蓝之海 第二季,2025,Comedy|Action|Adventure,8.5,103,81731,49.0,8.3,118.0,51454.0,22.0,7.3,115.0,7937.0,6.56
Yuru Camp△ Season 2,ゆるキャン△ SEASON2,摇曳露营△ 第二季,2021,Slice of Life|Action|Adventure,8.5,102,112351,49.5,8.5,57.0,189010.0,62.67,8.3,31.0,11784.0,75.41
Sora yori mo Tooi Basho,宇宙よりも遠い場所,比宇宙更远的地方,2018,Adventure|Comedy|Drama|Action,8.5,101,234885,50.0,8.5,58.0,64638.0,62.0,8.2,41.0,15121.0,67.21
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,JOJO的奇妙冒险 不灭钻石,2016,Action|Adventure|Crime|Drama,8.5,100,864640,50.5,8.4,80.0,72747.0,47.33,7.8,74.0,14711.0,40.16
Mob Psycho 100,モブサイコ100,灵能百分百,2016,Action|Comedy|Supernatural,8.49,104,1407795,48.5,8.5,59.0,64638.0,61.33,7.8,77.0,16231.0,37.7
Uchuu Kyoudai,宇宙兄弟,,2012,Comedy,8.48,105,55797,48.0,,,,,,,,
One Punch Man,ワンパンマン,一拳超人,2015,Action|Comedy,8.48,107,2405300,47.0,8.6,40.0,221886.0,74.0,8.0,61.0,20827.0,50.82
Ousama Ranking,王様ランキング,,2021,Adventure|Fantasy|Action,8.48,106,394688,47.5,8.4,75.0,15460.0,50.67,,,,
Yakusoku no Neverland,約束のネバーランド,约定的梦幻岛,2019,Mystery|Suspense|Action|Adventure,8.47,108,1388005,46.5,8.1,133.0,57146.0,12.0,7.6,91.0,11760.0,26.23
Ansatsu Kyoushitsu 2nd Season,暗殺教室　第２期,暗杀教室 第二季,2016,Action|Comedy,8.47,109,966204,46.0,7.9,140.0,27380.0,7.33,7.7,88.0,7754.0,28.69
Aria the Origination,ARIA The ORIGINATION,,2008,Sci-Fi|Slice of Life|Adventure|Drama,8.47,110,34660,45.5,8.4,73.0,19.0,52.0,,,,
Nichijou,日常,日常,2011,Comedy,8.47,111,398809,45.0,,,,,8.5,15.0,24489.0,88.52
Rainbow: Nisha Rokubou no Shichinin,RAINBOW 二舎六房の七人,,2010,Drama|Suspense|Comedy,8.46,112,166428,44.5,8.4,72.0,5700.0,52.67,,,,
Summertime Render,サマータイムレンダ,夏日重现,2022,Mystery|Supernatural|Suspense|Short|Action,8.46,113,285824,44.0,8.3,110.0,1970.0,27.33,7.5,102.0,19191.0,17.21
Owarimonogatari,終物語,终物语,2015,Comedy|Mystery|Supernatural|Fantasy,8.45,117,250332,42.0,8.4,76.0,2552.0,50.0,7.8,76.0,8407.0,38.52
Banana Fish,BANANA FISH,动物狂想曲,2018,Action|Adventure|Drama|Suspense,8.45,116,411008,42.5,,,,,7.3,118.0,8800.0,4.1
Grand Blue,ぐらんぶる,碧蓝之海,2018,Comedy,8.45,114,477928,43.5,,,,,7.9,73.0,16882.0,40.98
Chihayafuru 3,ちはやふる 3,,2019,Drama|Romance|Sports|Action,8.45,115,70449,43.0,8.7,27.0,101016.0,82.67,,,,
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,ジョジョの奇妙な冒険 スターダストクルセイダース エジプト編,JOJO的奇妙冒险 星尘斗士 埃及篇,2015,Action|Adventure,8.44,118,872765,41.5,,,,,8.2,40.0,17051.0,68.03
Medalist 2nd Season,メダリスト 第2期,金牌得主,2026,Drama|Sports,8.43,119,3835,41.0,,,,,8.0,62.0,12204.0,50.0
Dandadan,ダンダダン,胆大党,2024,Action|Comedy|Supernatural|Adventure,8.43,120,569276,40.5,8.3,108.0,51454.0,28.67,7.5,105.0,15364.0,14.75
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,Re:ゼロから始める異世界生活 3rd season,Re：从零开始的异世界生活 第三季 袭击篇,2024,Drama|Fantasy|Suspense,8.43,121,215887,40.0,,,,,7.2,121.0,7375.0,1.64
Zoku Owarimonogatari,続・終物語,终物语（下）,2019,Comedy|Mystery|Supernatural|Action|Adventure,8.43,122,120611,39.5,7.7,144.0,22844.0,4.67,8.1,50.0,7615.0,59.84
Chainsaw Man,チェンソーマン,,2022,Action|Fantasy|Comedy,8.43,123,1113906,39.0,8.3,117.0,97277.0,22.67,,,,
Spy x Family,SPY×FAMILY,间谍过家家,2022,Action|Award Winning|Comedy,8.43,124,1146172,38.5,8.2,130.0,59800.0,14.0,7.2,122.0,22191.0,0.82
Haikyuu!!,ハイキュー!!,排球少年,2014,Sports|Comedy|Drama,8.43,125,1336768,38.0,8.7,24.0,51821.0,84.67,8.1,55.0,8987.0,55.74
Golden Kamuy 3rd Season,ゴールデンカムイ,,2020,Action|Adventure,8.43,126,97482,37.5,8.0,138.0,3473.0,8.67,,,,
Dandadan 2nd Season,ダンダダン 第2期,,2025,Action|Comedy|Supernatural|Adventure,8.42,131,269586,35.0,8.3,96.0,51454.0,36.67,,,,
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re：ゼロから始める異世界生活 2 part 2,Re：从零开始的异世界生活 第二季 后半部分,2021,Drama|Fantasy|Suspense|Adventure,8.42,130,624424,35.5,8.6,39.0,2655.0,74.67,7.6,90.0,12406.0,27.05
Kono Oto Tomare! Part 2,この音とまれ！,,2019,Drama,8.42,129,106805,36.0,,,,,,,,
Koukaku Kidoutai: Stand Alone Complex,攻殻機動隊 STAND ALONE COMPLEX,攻壳机动队 STAND ALONE COMPLEX,2002,Award Winning|Mystery|Sci-Fi|Action|Crime,8.42,128,171837,36.5,8.5,63.0,22272.0,58.67,9.1,3.0,10994.0,98.36
Bungou Stray Dogs 4th Season,文豪ストレイドッグス,,2023,Action|Mystery,8.42,127,146170,37.0,,,,,,,,
Saiki Kusuo no Ψ-nan,斉木楠雄のΨ難,齐木楠雄的灾难,2016,Comedy|Adventure,8.41,132,692078,34.5,8.9,10.0,1957.0,94.0,7.7,84.0,15320.0,31.97
Saiki Kusuo no Ψ-nan 2,斉木楠雄のΨ難 2,齐木楠雄的灾难 第二季,2018,Comedy|Action|Adventure,8.41,133,427137,34.0,8.1,135.0,57146.0,10.67,7.7,82.0,10885.0,33.61
Mononoke,モノノ怪,,2007,Horror|Mystery|Supernatural|Suspense,8.41,134,105161,33.5,,,,,,,,
Kimetsu no Yaiba,鬼滅の刃,鬼灭之刃,2019,Action|Award Winning|Supernatural|Adventure,8.41,135,2338985,33.0,8.6,44.0,219083.0,71.33,7.3,112.0,20621.0,9.02
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,辉夜大小姐想让我告白～天才们的恋爱头脑战～,2019,Comedy|Romance|Drama,8.4,136,1202016,32.5,8.5,61.0,28175.0,60.0,7.8,79.0,26239.0,36.07
Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,無職転生 II ～異世界行ったら本気だす～ (第2クール),无职转生 第二季 ～到了异世界就拿出真本事～ 第2部分,2024,Adventure|Drama|Fantasy|Ecchi|Action,8.39,137,319794,32.0,8.2,128.0,35340.0,15.33,7.6,97.0,13170.0,21.31
Houseki no Kuni,宝石の国,宝石之国,2017,Action|Drama|Fantasy|Mystery|Adventure,8.39,138,218099,31.5,8.4,78.0,15460.0,48.67,7.6,95.0,11288.0,22.95
Major S5,メジャー,,2009,Sports,8.39,139,43731,31.0,,,,,,,,
Kaze ga Tsuyoku Fuiteiru,風が強く吹いている,强风吹拂,2018,Drama|Sports|Comedy|Sport,8.38,142,150388,29.5,8.3,101.0,2309.0,33.33,8.4,23.0,10087.0,81.97
Vivy: Fluorite Eye's Song,Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-),,2021,Action|Sci-Fi|Suspense|Drama|Fantasy,8.38,141,270415,30.0,8.4,77.0,39704.0,49.33,,,,
Mahou Shoujo Madoka★Magica,魔法少女まどか★マギカ,魔法少女小圆,2011,Award Winning|Drama|Suspense|Action|Adventure,8.38,140,811170,30.5,8.2,126.0,13708.0,16.67,8.6,13.0,36914.0,90.16
Medalist,メダリスト,,2025,Drama|Sports,8.37,143,35797,29.0,,,,,,,,
3-gatsu no Lion,3月のライオン,3月的狮子,2016,Drama|Action|Adventure,8.37,144,299371,28.5,7.7,143.0,45351.0,5.33,8.3,33.0,10678.0,73.77
Haikyuu!! To the Top,ハイキュー!! TO THE TOP,,2020,Sports,8.37,145,642206,28.0,,,,,,,,
Chihayafuru 2,ちはやふる 2,歌牌情缘,2013,Drama|Romance|Sports,8.37,146,137812,27.5,,,,,8.0,60.0,5221.0,51.64
Girls Band Cry,ガールズバンドクライ,GIRLS BAND CRY,2024,Drama|Action|Adventure,8.36,147,52856,27.0,7.4,149.0,28111.0,1.33,7.6,98.0,23041.0,20.49
Cross Game,クロスゲーム,,2009,Drama|Romance|Sports|Comedy,8.36,148,53541,26.5,8.8,15.0,90568.0,90.67,,,,
Karakai Jouzu no Takagi-san 3,からかい上手の高木さん3,擅长捉弄的高木同学 第三季,2022,Comedy|Romance,8.36,149,95501,26.0,,,,,8.0,57.0,7814.0,54.1
Barakamon,ばらかもん,,2014,Slice of Life|Comedy|Fantasy,8.36,150,360406,25.5,8.4,82.0,2552.0,46.0,,,,
Golden Kamuy: Saishuushou,ゴールデンカムイ 最終章,,2026,Action|Adventure,8.35,155,3857,23.0,,,,,,,,
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,やはり俺の青春ラブコメはまちがっている。完,,2020,Comedy|Romance,8.35,153,452318,24.0,,,,,,,,
Non Non Biyori Nonstop,のんのんびより のんすとっぷ,悠哉日常大王 Nonstop,2021,Slice of Life,8.35,154,53589,23.5,,,,,8.2,37.0,6019.0,70.49
