title,title_jp,title_cn,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,あの日見た花の名前を僕達はまだ知らない。,我们仍未知道那天所看见的花的名字。,2011,Drama|Supernatural|Action|Adventure,8.29,183,1030743,9.0,8.2,122.0,13708.0,19.33,7.6,94.0,26280.0,23.77
Naruto: Shippuuden,-ナルト- 疾風伝,火影忍者疾风传,2007,Action|Adventure|Fantasy,8.29,186,1807051,7.5,8.7,32.0,217277.0,79.33,7.6,96.0,7626.0,22.13
Yuukoku no Moriarty Part 2,憂国のモリアーティ,,2021,Mystery|Suspense|Adventure|Drama,8.29,182,136080,9.5,8.3,105.0,12515.0,30.67,,,,
Diamond no Ace: Act II,ダイヤのA[エース] actII,,2019,Sports|Comedy|Sport,8.28,192,50559,4.5,8.3,98.0,411.0,35.33,,,,
Kino no Tabi: The Beautiful World,キノの旅 -the Beautiful World-,奇诺之旅,2003,Adventure|Drama|Fantasy,8.28,193,105388,4.0,8.3,99.0,3655.0,34.67,8.1,51.0,5161.0,59.02
Gin no Saji 2nd Season,銀の匙,,2014,Comedy|Action|Adventure,8.27,194,94371,3.5,9.1,2.0,691912.0,99.33,,,,
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",シャングリラ・フロンティア～クソゲーハンター、神ゲーに挑まんとす～ 2nd season,,2024,Action|Adventure|Fantasy,8.26,195,126114,3.0,,,,,,,,
Kage no Jitsuryokusha ni Naritakute! 2nd Season,陰の実力者になりたくて！ 2nd Season,想要成为影之实力者！ 第二季,2023,Action|Comedy|Fantasy|Adventure,8.26,196,291326,2.5,7.7,145.0,13938.0,4.0,7.3,117.0,9706.0,4.92
Space☆Dandy 2nd Season,スペース☆ダンディ 第2シリーズ,,2014,Comedy|Sci-Fi|Drama|Sport,8.26,197,95579,2.0,8.6,48.0,6003.0,68.67,,,,
Dororo,どろろ,,2019,Action|Adventure|Fantasy,8.26,198,694621,1.5,8.2,131.0,28462.0,13.33,,,,
Yuru Camp△,ゆるキャン△,摇曳露营△,2018,Slice of Life,8.26,199,238304,1.0,,,,,8.2,48.0,16659.0,61.48
Shirobako,SHIROBAKO,白箱,2014,Award Winning|Comedy|Drama|Action|Adventure,8.26,200,149146,0.5,9.1,1.0,691912.0,100.0,8.7,10.0,22358.0,92.62
