rank,title,title_jp,score,scored_by,members,year,genres,url
277,IDOLiSH7 Third Beat! Part 2,アイドリッシュセブン,8.34,6059,17844,2022,Drama,https://myanimelist.net/anime/46654/IDOLiSH7_Third_Beat_Part_2
279,Kono Subarashii Sekai ni Shukufuku wo! 3,この素晴らしい世界に祝福を！3,8.34,232591,538832,2024,Adventure|Comedy|Fantasy,https://myanimelist.net/anime/49458/Kono_Subarashii_Sekai_ni_Shukufuku_wo_3
278,Kimetsu no Yaiba: Mugen Ressha-hen,鬼滅の刃 無限列車編,8.34,582158,959574,2021,Action|Supernatural,https://myanimelist.net/anime/49926/Kimetsu_no_Yaiba__Mugen_Ressha-hen
281,Tensei shitara Slime Datta Ken 2nd Season,転生したらスライムだった件,8.34,638525,1097806,2021,Action|Comedy|Fantasy,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season
288,Psycho-Pass,サイコパス,8.33,827190,1739177,2012,Action|Mystery|Sci-Fi|Suspense,https://myanimelist.net/anime/13601/Psycho-Pass
286,Mushoku Tensei: Isekai Ittara Honki Dasu,無職転生 ～異世界行ったら本気だす～,8.33,958647,1549667,2021,Adventure|Drama|Fantasy|Ecchi,https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu
283,Bakuman. 2nd Season,バクマン。2ndシーズン,8.33,221430,370692,2011,Comedy|Drama|Romance,https://myanimelist.net/anime/10030/Bakuman_2nd_Season
298,Fate/stay night: Unlimited Blade Works 2nd Season,Fate/stay night [Unlimited Blade Works] 2nd シーズン,8.32,601607,915160,2015,Action|Fantasy,https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season
292,One Outs,ワンナウツ,8.32,122538,255457,2008,Sports|Suspense,https://myanimelist.net/anime/5040/One_Outs
293,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,Re：ゼロから始める異世界生活 2,8.32,745723,1263159,2020,Drama|Fantasy|Suspense,https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season
296,Bakemonogatari,化物語,8.32,768221,1482164,2009,Mystery|Romance|Supernatural,https://myanimelist.net/anime/5081/Bakemonogatari
290,Kiseijuu: Sei no Kakuritsu,寄生獣 セイの格率,8.32,1244211,2025119,2014,Action|Horror|Sci-Fi|Suspense,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu
294,Usagi Drop,うさぎドロップ,8.32,254514,522967,2011,Slice of Life,https://myanimelist.net/anime/10162/Usagi_Drop
302,Major S6,メジャー 第6シリーズ,8.31,38918,67126,2010,Sports,https://myanimelist.net/anime/7655/Major_S6
308,Uma Musume: Pretty Derby Season 2,ウマ娘 プリティーダービー Season 2,8.31,55850,105427,2021,Sports,https://myanimelist.net/anime/42941/Uma_Musume__Pretty_Derby_Season_2
304,NHK ni Youkoso!,N・H・Kにようこそ！,8.31,368894,826199,2006,Comedy|Drama|Romance,https://myanimelist.net/anime/1210/NHK_ni_Youkoso
312,Dr. Stone: New World Part 2,Dr.STONE NEW WORLD,8.3,224315,416412,2023,Adventure|Comedy,https://myanimelist.net/anime/55644/Dr_Stone__New_World_Part_2
315,Ookami to Koushinryou II,狼と香辛料II,8.3,288790,519071,2009,Adventure|Drama|Romance|Supernatural,https://myanimelist.net/anime/5341/Ookami_to_Koushinryou_II
314,Natsume Yuujinchou,夏目友人帳,8.3,198939,584682,2008,Slice of Life|Supernatural,https://myanimelist.net/anime/4081/Natsume_Yuujinchou
311,Diamond no Ace: Second Season,ダイヤのA[エース]～Second Season～,8.3,82375,149606,2015,Sports,https://myanimelist.net/anime/30230/Diamond_no_Ace__Second_Season
313,Initial D Final Stage,頭文字 D Final Stage,8.3,84699,165184,2014,Action|Drama,https://myanimelist.net/anime/22507/Initial_D_Final_Stage
310,Boku dake ga Inai Machi,僕だけがいない街,8.3,1468551,2274628,2016,Mystery|Suspense,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi
318,Kingdom 2nd Season,キングダム 第2シリーズ,8.29,73783,148707,2013,Action,https://myanimelist.net/anime/17389/Kingdom_2nd_Season
317,Kemono no Souja Erin,獣の奏者エリン,8.29,22820,93940,2009,Drama|Fantasy,https://myanimelist.net/anime/5420/Kemono_no_Souja_Erin
319,Kuroko no Basket 3rd Season,黒子のバスケ,8.29,509634,825786,2015,Sports,https://myanimelist.net/anime/24415/Kuroko_no_Basket_3rd_Season
316,Katanagatari,刀語,8.29,223109,590992,2010,Action|Adventure|Romance,https://myanimelist.net/anime/6594/Katanagatari
323,Sakamichi no Apollon,坂道のアポロン,8.29,181899,413844,2012,Drama|Romance,https://myanimelist.net/anime/12531/Sakamichi_no_Apollon
332,Given,ギヴン,8.29,344275,631602,2019,Boys Love|Drama,https://myanimelist.net/anime/39533/Given
325,Tensei shitara Slime Datta Ken 2nd Season Part 2,転生したらスライムだった件,8.29,519728,895930,2021,Action|Comedy|Fantasy,https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2
330,Beck,ベック,8.29,150239,372757,2004,Drama,https://myanimelist.net/anime/57/Beck
329,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,あの日見た花の名前を僕達はまだ知らない。,8.29,1030743,1698931,2011,Drama|Supernatural,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai
321,Naruto: Shippuuden,-ナルト- 疾風伝,8.29,1807051,2720899,2007,Action|Adventure|Fantasy,https://myanimelist.net/anime/1735/Naruto__Shippuuden
328,Yuukoku no Moriarty Part 2,憂国のモリアーティ,8.29,136080,288858,2021,Mystery|Suspense,https://myanimelist.net/anime/43325/Yuukoku_no_Moriarty_Part_2
333,Diamond no Ace: Act II,ダイヤのA[エース] actII,8.28,50559,100732,2019,Sports,https://myanimelist.net/anime/38731/Diamond_no_Ace__Act_II
335,Kino no Tabi: The Beautiful World,キノの旅 -the Beautiful World-,8.28,105388,352747,2003,Adventure|Drama|Fantasy,https://myanimelist.net/anime/486/Kino_no_Tabi__The_Beautiful_World
345,Gin no Saji 2nd Season,銀の匙,8.27,94371,154580,2014,Comedy,https://myanimelist.net/anime/19363/Gin_no_Saji_2nd_Season
350,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",シャングリラ・フロンティア～クソゲーハンター、神ゲーに挑まんとす～ 2nd season,8.26,126114,253251,2024,Action|Adventure|Fantasy,https://myanimelist.net/anime/58572/Shangri-La_Frontier__Kusoge_Hunter_Kamige_ni_Idoman_to_su_2nd_Season
348,Kage no Jitsuryokusha ni Naritakute! 2nd Season,陰の実力者になりたくて！ 2nd Season,8.26,291326,520330,2023,Action|Comedy|Fantasy,https://myanimelist.net/anime/54595/Kage_no_Jitsuryokusha_ni_Naritakute_2nd_Season
353,Space☆Dandy 2nd Season,スペース☆ダンディ 第2シリーズ,8.26,95579,181690,2014,Comedy|Sci-Fi,https://myanimelist.net/anime/23327/Space☆Dandy_2nd_Season
357,Dororo,どろろ,8.26,694621,1363120,2019,Action|Adventure|Fantasy,https://myanimelist.net/anime/37520/Dororo
356,Yuru Camp△,ゆるキャン△,8.26,238304,538507,2018,Slice of Life,https://myanimelist.net/anime/34798/Yuru_Camp△
351,Shirobako,SHIROBAKO,8.26,149146,469008,2014,Award Winning|Comedy|Drama,https://myanimelist.net/anime/25835/Shirobako
