rank,title,title_jp,score,scored_by,members,year,genres,url
67,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,昭和元禄落語心中～助六再び篇～,8.69,69572,201072,2017,Drama,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
69,Violet Evergarden,ヴァイオレット・エヴァーガーデン,8.69,1080527,1976520,2018,Drama,https://myanimelist.net/anime/33352/Violet_Evergarden
73,Mushishi Zoku Shou,蟲師 続章,8.68,127685,324876,2014,Adventure|Mystery|Slice of Life|Supernatural,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
78,Uma Musume: Cinderella Gray Part 2,ウマ娘 シンデレラグレイ 第2クール,8.67,27767,56913,2025,Drama|Sports,https://myanimelist.net/anime/61930/Uma_Musume__Cinderella_Gray_Part_2
75,Bleach: Sennen Kessen-hen - Soukoku-tan,BLEACH 千年血戦篇-相剋譚-,8.67,149949,284180,2024,Action|Adventure|Supernatural,https://myanimelist.net/anime/56784/Bleach__Sennen_Kessen-hen_-_Soukoku-tan
76,Hajime no Ippo: New Challenger,はじめの一歩 新シリーズ,8.67,187543,323034,2009,Sports,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
82,Mushishi,蟲師,8.65,296460,899591,2005,Adventure|Mystery|Slice of Life|Supernatural,https://myanimelist.net/anime/457/Mushishi
87,Tengen Toppa Gurren Lagann,天元突破グレンラガン,8.64,969265,1751520,2007,Adventure|Award Winning|Sci-Fi,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
84,Shigatsu wa Kimi no Uso,四月は君の嘘,8.64,1456764,2399076,2014,Drama|Romance,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
86,Shingeki no Kyojin Season 3,進撃の巨人 Season3,8.64,1790733,2634750,2018,Action|Drama|Suspense,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
90,Made in Abyss,メイドインアビス,8.63,830147,1536878,2017,Adventure|Drama|Fantasy|Mystery|Sci-Fi,https://myanimelist.net/anime/34599/Made_in_Abyss
91,Natsume Yuujinchou Shi,夏目友人帳 肆,8.63,117062,264785,2012,Slice of Life|Supernatural,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
93,Ping Pong the Animation,ピンポン THE ANIMATION,8.63,202581,435737,2014,Award Winning|Drama|Sports,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
92,Odd Taxi,オッドタクシー,8.63,247931,503739,2021,Award Winning|Drama|Mystery|Suspense,https://myanimelist.net/anime/46102/Odd_Taxi
95,Death Note,デスノート,8.62,2977581,4255411,2006,Supernatural|Suspense,https://myanimelist.net/anime/1535/Death_Note
98,Haikyuu!! Second Season,ハイキュー!! セカンドシーズン,8.62,1020832,1554857,2015,Sports,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
